text,region,beach_name
"The beach “Souvala” is an urban beach with sand.,
The length of the beach is about 900 m and the,
width 8 m. It hasn’t trees or bushes. You can see,
there a lot of seagals and different kind of fishes,
like, blenies, red mullets, soles, Mullets, annulars.,
You can get to the beach by a coastal road and a,
central public road. The National road is about 2,5,
km away from the beach.At the beach area take,
place sport facilities and you can find hotels,,
rooms to let and a lot of restaurant-bars.The,
environmental education facilities scheduled at,
2004 was : painting competitions, lectures, planting,
trees, advertising messages.",,SouvalaArkitsas
"The coast of “Pefkias” is situated in the city of ,
Xylokastro and is a tourist resort. Throughout the ,
year various environmental activities take place ,
such as –cleanness of the beaches, seminars, ,
speeches etc.This particular 1.800 mt coastal ,
length has pebbles instead of sand and a width of ,
10-60 meters. Along this coast  exists special ,
trees that can survive and can thrive on a salty ,
environment and pine trees (pinus halepensis). ,
There are flowers which survive in this habitat ,
such as cacile maritime and mathiola tricuspidata. ,
There are also birds, sea-gulls and sparrows. In ,
addition there are hotels situated nearby and the ,
proximity of the coast is in short range to the ,
people living in Xylokastro and there is easy ,
access to it on foot or even by bicycle.  Website: ,
www.xylokastro.gr",,XylokastroPefkias
"Name of the beach: Tserdakia,
Corporation: Municipality of Paros,
Address: Parikia, Paros,
Community: Kyklades,
P.C. : 84400,
Tel.: 2284021200,
Fax: 2284024752,
Type of beach: Beach with sand,
Placed in rural area,
Description of the environmental education,
facilities: Lectures, Clean up.,
Facilities: Sport facilities,
Description of the location of the beach: Hotels and,
Rent rooms,
Description of nearby natural areas:Length of the,
beach: 1,000 mWidth of the beach: 50 mType of,
trees: Sea treesOther: Sand hills,
Description of how to get to the beach:By bus, car,,
motorbike, bike, feet.,
Link to website for the beach/municipality:,
www.paros.gr,
,
Tserdakia beach is a sandy beach placed in rural,
area. It‘s popular for the sport facilities such as,
scuba diving and windsurfing. There are kiosks,
where it is possible to rent equipment for water,
sports and to obtain instruction for their use. Near,
the beach you can find hotels and rent rooms to,
stay. The beach has length 1,000 meters and,
width 50 meters approximately and there sea trees,
and sand hills. You can go to the beach by bus,,
car, motorbike, bicycle and/or by feet. More,
information you can find on the link: www.paros.gr.",,Tserdakia
,,LEFKANTI
"Tsilivi is a beautiful sandy beach ,part of the tourist ,
region of Planos .Many seminars , clean ,
up,drawing competitions are carried out every  ,
year to the Tsilivi beach .A big variety of beach ,
sports ahd car-bices-bicycle rentals are available ,
around the beach .The municipal region of Planos ,
is a highly development tourist area with many ,
hotels –appartments –restaurant –tourist shop-,
super markets ,bars and travel agencies.Olive ,
trees and pinetrees are the main type of trees ,
around the beach.The access to the beach is easy ,
and safe from many different ways.",,TSILIVI
,,Kontokali
,,VagiesLadiko
"The lightly stone - covered Agali - Trokandero,
beach of the municipality of Itea is situated at a,
residential area and the visitor can rent a car, a,
motorbike and a bicycle. Hotels and rooms to let,
are situated very close to the beach. The length of,
the beach is around 200 meters and its width,
around 30 meters and is planted with a variety of,
palm trees and green algae. There exists dense,
mass transportation through the Prefecture of,
Fokida busses Tourist bysses and taxis.",,TrokanteroAgali
" , , ",,Vathi
"Punta beach is a beautiful beach with pebbles, a ,
resort for the whole area of Egialia. The beach is ,
situated in the Municipality of Diakopto and is easily ,
accessible through the Old National Road Korinthu-,
Patras, just about three Klm, from the centre of ,
Diakopto. The Beach has  800 meters length and ,
30 meters width. Heather, Efkalyptus and pine ,
trees are all over the beach and there rooms to ,
rent, as well as, café and restaurants. There are ,
no organized sport facilities but during summer time ,
there are lectures and environmental activities ,
organized by the Municipality of Diakopto ,
(brochures, and information on marine and coastal ,
environment). For more information you can link to : ,
www.diakopto.gr/tourismos.htm",,Pounta
,,Voulismeni
"In the Municipality of Asopos Laconia stands the ,
wonderful beach of Plytra (named ,
Pachiammos).Golden beach, witch is 180 m long ,
and 30 m wide. At the borders of the coast grow ,
bushes.In Plytra you find the central port witch ,
hosts the summer months a lot of yaughts.The high ,
standard services in hospitality, the arrangement ,
of the tourist accommodations (hotels, rooms to let, ,
furnished apartments) and the excellent service at ,
the restaurants who are capable to fulfill the most ,
depending visitor will give justice to your choice of ,
our place for your vacations.In a little km distance ,
from the coast at the Municipal district Sykia of ,
Municipality of Molai it is possible to rend cars, ,
cycles and motorcycles. During the year from the ,
elements schools and the secondary school in ,
cooperation with the Cultural Associations and the ,
Municipality of Asopos take place a variety of ,
educational activities with environmental subject ,
such as speeches, painting and photo contests, ,
coast cleaning and informing expeditions of the ,
inhabitants about the need and importance of a ,
clean environment.During the summer, in Plytra ,
take place cultural demonstrations that lost five ,
days, under the aegis of Municipality of Asopos in ,
which the visitors have the chance to entertain ,
themselves and get to know the unique hospitality ,
of the residents.The remands of sunken city of ,
Ancient Asopos at the district of Plytra have great ,
archaeological interest and constitute one more ,
reason to visit Plytra.The vehicular communication ,
of our municipality generally and the coast ,
particularly, is held by K. T. E. L. of Laconia with ,
daily timetables of busses from and to Molai, ,
Sparta and Athens. The visitor can come also by ,
sea with a flying Dolphin witch departs from ,
Piraeus and arrives to Monemvasia witch is 30 km ,
far from Plytra. The road to the coast is excellent.  ,
For more information: www. asopos. gr",,PlytraPachiaAmmos
" , , , , , , , , , , , , , , , , , , , , , ",,POTAMOSA
,,SKOUTARI
,,Tigania
,,Vartholomio
"Karfas is a long beautiful and sandy beach. . It,
is on an urban area. In the area lecture is taken,
place and photo competitions, too. On the beach,
you can rent cars, bikes or bicycles. There are,
big hotels and rent rooms around the beach.,
Mini markets, big restaurants , traditional,
tavernas and pubs , someone can find on the,
area and along the beach.The length of the,
beach is about four hundreds (400) m. and,
the width is thirty (30) m. Along the beach,
there are almires , a type of floras . A wide,
and well- made road leads on the beach.",,Karfas
"Xi beach is a summer resort and is with sandy (red,
sand). The beach’ s width is 50 meters and it’s,
length is 4 km. One may get to the,
beach by a net of asphalted roads that connect the,
beach with the capital o the municipality of Paliki,
Lixouri and the nearby villages. There is a,
rich flora and fauna at the nearby area. The type,
of tree that is most founded is olive and a,
numerous vineyard. A various environmental,
education facilities are carried out each year such,
as conferences and voluntary clean up of the,
coast by the students of the area. There are,
also sport facilities available at the beach and rent,
car, motorbikes and bikes at the nearby,
area.Hotels and numerous of rent rooms are also,
available close to the shore. For further,
information link with the website for the,
municipality of Paliki www.lixouri.gr. and,
www.agn.gr/hotels/cph/.",,Xi
,,Pori
,,Sarakina
,,Tosca
,,Pefkari2
"THE BEACH OF THE CAMPING LEXANDROUPOLIS ,
IS ONE URBAN BEACH 1 KILOMETER FROM THE ,
CENTER OF THE CITY .THE BATHERS CAN COME ,
TO THE BEACH USING ALL THE MEANS OF MASS ,
TRANSPORT AND WALKING .THE COAST IS IN ,
THE WESTERN ENTRY OF THE CITY ON THE ,
CENTRAL NATIONAL ROAD .IN THE AROUND ,
REGION EXIST HOTELS, CAMPING AND RENTED ,
ROOMS.TYPE OF COAST: BEACH WITH ,
SANDVEGETATION: BUSHES (ALMIRIKIA) AND ,
PINES .LENGTH OF THE COAST: 800 ,
METERS.WIDTH OF THE COAST: 40 METERS .LINK ,
TO WEBSITE FOR THE BEACH : www.ditea.gr",,Dimotiki Plaz Alexandroupolis
 ,,PrinosDasylio2
